pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
10.879256,8.323174,0.856613,10.875460,8.316460,0.944418,10.871740,8.307717,1.040299,10.876979,8.309455,1.128097,10.885127,8.313955,1.215476,10.891590,8.313432,1.338268,10.883470,8.301324,1.427015,10.867858,8.330452,1.285491,10.768675,8.405856,1.273136,10.751483,8.422965,1.025160,10.739012,8.409738,0.828638,10.908898,8.296449,1.283177,11.000138,8.216278,1.252786,10.991668,8.220324,1.003798,10.981300,8.215850,0.806759,10.823227,8.368846,0.857842,10.823387,8.385788,0.480932,10.831884,8.416242,0.086561,10.730444,8.302060,0.016663,10.935273,8.277476,0.855713,10.950204,8.303932,0.479647,10.947354,8.313751,0.084145,10.846694,8.197224,0.017045,-0.051518,0.008813,0.013024
10.878876,8.323115,0.856587,10.875068,8.316566,0.944403,10.871127,8.307826,1.040275,10.876077,8.309496,1.128091,10.883855,8.313855,1.215510,10.889703,8.313063,1.338328,10.881372,8.300670,1.427015,10.866317,8.330214,1.285546,10.767262,8.405735,1.272892,10.750183,8.422921,1.024913,10.737974,8.410409,0.828329,10.907340,8.296184,1.283366,10.998371,8.215657,1.253296,10.991730,8.219438,1.004260,10.978827,8.216732,0.807378,10.822790,8.368719,0.857713,10.824496,8.387505,0.480906,10.832059,8.416762,0.086430,10.730616,8.302444,0.016759,10.934948,8.277486,0.855785,10.949383,8.303033,0.479639,10.947188,8.313812,0.084159,10.846712,8.197305,0.016750,-0.039342,0.007607,0.003582
10.878496,8.323057,0.856560,10.874676,8.316672,0.944389,10.870514,8.307935,1.040252,10.875175,8.309537,1.128085,10.882583,8.313756,1.215543,10.887815,8.312693,1.338388,10.879273,8.300017,1.427016,10.864776,8.329976,1.285601,10.765850,8.405615,1.272648,10.748882,8.422876,1.024665,10.736936,8.411080,0.828021,10.905782,8.295919,1.283554,10.996603,8.215037,1.253805,10.991791,8.218553,1.004721,10.976353,8.217614,0.807997,10.822354,8.368593,0.857585,10.825605,8.389222,0.480881,10.832234,8.417282,0.086298,10.730787,8.302829,0.016856,10.934624,8.277496,0.855857,10.948561,8.302133,0.479631,10.947021,8.313873,0.084173,10.846730,8.197386,0.016455,-0.027166,0.006400,-0.005861
10.878158,8.322970,0.856499,10.874296,8.316685,0.944333,10.869885,8.307935,1.040184,10.874243,8.309470,1.128034,10.881271,8.313568,1.215530,10.885874,8.312292,1.338400,10.877105,8.299387,1.426972,10.863201,8.329714,1.285565,10.764475,8.405547,1.272246,10.747765,8.422639,1.024237,10.736153,8.411464,0.827535,10.904157,8.295593,1.283671,10.994788,8.214366,1.254280,10.991551,8.217641,1.005159,10.974202,8.218169,0.808560,10.821996,8.368485,0.857443,10.826487,8.390512,0.480820,10.832380,8.417629,0.086155,10.730914,8.303094,0.016876,10.934304,8.277432,0.855876,10.947888,8.301479,0.479596,10.946820,8.313946,0.084156,10.846708,8.197465,0.016162,-0.015682,0.003987,-0.011572
10.877890,8.322881,0.856377,10.873922,8.316587,0.944205,10.869206,8.307789,1.040036,10.873228,8.309246,1.127904,10.879854,8.313244,1.215435,10.883792,8.311828,1.338326,10.874776,8.298775,1.426853,10.861532,8.329414,1.285378,10.763117,8.405565,1.271607,10.746760,8.422221,1.023539,10.735643,8.411307,0.826789,10.902392,8.295173,1.283669,10.992865,8.213631,1.254676,10.990916,8.216606,1.005535,10.972431,8.218259,0.809029,10.821764,8.368442,0.857264,10.827114,8.391183,0.480691,10.832490,8.417694,0.085977,10.730967,8.303163,0.016773,10.933999,8.277294,0.855810,10.947424,8.301212,0.479515,10.946552,8.314047,0.084085,10.846615,8.197543,0.015873,-0.003948,-0.000501,-0.011399
10.877665,8.322764,0.856220,10.873559,8.316395,0.944036,10.868510,8.307533,1.039845,10.872183,8.308914,1.127728,10.878397,8.312833,1.215294,10.881656,8.311333,1.338203,10.872378,8.298185,1.426689,10.859830,8.329091,1.285100,10.761796,8.405636,1.270810,10.745938,8.421611,1.022660,10.735388,8.410863,0.825866,10.900561,8.294693,1.283595,10.990895,8.212846,1.255036,10.989980,8.215544,1.005888,10.970982,8.218022,0.809442,10.821611,8.368418,0.857072,10.827514,8.391426,0.480528,10.832571,8.417585,0.085787,10.730975,8.303113,0.016594,10.933698,8.277082,0.855690,10.947109,8.301189,0.479407,10.946249,8.314160,0.083983,10.846482,8.197619,0.015587,0.007095,-0.006195,-0.007496
10.877433,8.322514,0.856078,10.873230,8.316069,0.943885,10.867880,8.307170,1.039674,10.871233,8.308505,1.127571,10.877064,8.312385,1.215165,10.879674,8.310874,1.338091,10.870109,8.297659,1.426535,10.858239,8.328770,1.284817,10.760604,8.405714,1.269946,10.745696,8.420580,1.021679,10.735587,8.410603,0.824830,10.898820,8.294188,1.283525,10.989002,8.212006,1.255462,10.988716,8.214717,1.006312,10.970004,8.217544,0.809857,10.821474,8.368285,0.856926,10.827551,8.391386,0.480393,10.832609,8.417464,0.085650,10.730980,8.303060,0.016393,10.933369,8.276713,0.855556,10.946908,8.301234,0.479307,10.945975,8.314246,0.083885,10.846361,8.197683,0.015305,0.013921,-0.011700,-0.002589
10.877185,8.322082,0.855967,10.872962,8.315571,0.943767,10.867375,8.306673,1.039543,10.870461,8.308006,1.127451,10.875954,8.311901,1.215066,10.877966,8.310471,1.338004,10.868089,8.297212,1.426408,10.856843,8.328458,1.284545,10.759611,8.405782,1.269007,10.746247,8.418991,1.020562,10.736439,8.410627,0.823620,10.897259,8.293670,1.283471,10.987304,8.211134,1.256004,10.986952,8.214395,1.006860,10.969548,8.216899,0.810285,10.821343,8.367994,0.856857,10.827065,8.391050,0.480318,10.832584,8.417381,0.085600,10.730995,8.303040,0.016181,10.933005,8.276140,0.855404,10.946848,8.301345,0.479213,10.945751,8.314289,0.083790,10.846270,8.197726,0.015003,0.014151,-0.017134,0.003775
10.876931,8.321518,0.855870,10.872729,8.314939,0.943667,10.866935,8.306069,1.039433,10.869785,8.307430,1.127348,10.874967,8.311381,1.214980,10.876412,8.310104,1.337927,10.866198,8.296829,1.426291,10.855558,8.328148,1.284267,10.758747,8.405856,1.268000,10.747378,8.416981,1.019343,10.737746,8.410835,0.822296,10.895787,8.293127,1.283421,10.985684,8.210207,1.256611,10.984861,8.214307,1.007480,10.969563,8.216012,0.810714,10.821229,8.367595,0.856834,10.826215,8.390430,0.480272,10.832517,8.417285,0.085603,10.731007,8.303017,0.015948,10.932613,8.275410,0.855238,10.946903,8.301524,0.479126,10.945557,8.314305,0.083699,10.846192,8.197757,0.014706,0.010163,-0.022379,0.011143
10.876651,8.320860,0.855797,10.872467,8.314246,0.943591,10.866467,8.305435,1.039350,10.869087,8.306848,1.127272,10.873968,8.310875,1.214917,10.874857,8.309780,1.337871,10.864280,8.296500,1.426191,10.854270,8.327842,1.284021,10.757894,8.405942,1.267039,10.748850,8.414740,1.018196,10.739112,8.411394,0.821102,10.894291,8.292569,1.283408,10.983916,8.209151,1.257230,10.982940,8.213905,1.008108,10.970041,8.214750,0.811167,10.821099,8.367113,0.856815,10.825339,8.389720,0.480232,10.832445,8.417178,0.085619,10.731015,8.302992,0.015714,10.932187,8.274577,0.855112,10.946957,8.301598,0.479082,10.945397,8.314302,0.083653,10.846120,8.197802,0.014479,0.005579,-0.025682,0.015423
